Date,Month,Order,Treatment,TrapNo,Pairing,PalaemonetesPugio,FundulusHeteroclitus,CallinectesSapidus,LitopenaeusSetiferus,BairdiellaChrysoura,FundulusLuciae,PalaemonetesVulgaris,EvorthodusLyricus,GobiosomaBosc,CyprinodonVariegatus,LeiostomusXanthurus,AlpheusHeterochaelis,Abundance,Shannon,Simpson,InverseS,Richness,Salinity,Temperature,dO2,dO2pascals,pH,AbbapoolaHeight,CharlestonHeight,Notes
8/24/2016,August,11,Mussels,2,X,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,Inf,0,37.7,32.4,,,,1.88,2.095,Does not appear in species sheet!
8/24/2016,August,12,No_mussels,1,X,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,1,1,37.7,32.4,,,,1.88,2.095,
8/24/2016,August,13,Mussels,3,Y,8,12,3,2,0,0,0,0,0,0,0,,25,1.1734141,0.6464,2.828054,4,37.7,32.4,,,,1.88,2.095,
8/24/2016,August,14,No_mussels,4,Y,2,16,1,2,1,0,0,0,0,0,0,,22,0.9485875,0.4504132,1.819549,5,37.7,32.4,,,,1.88,2.095,
8/25/2016,August,15,Mussels,1,X,0,11,1,5,0,0,1,0,0,0,0,,18,0.9779252,0.5432099,2.189189,4,38,33.8,,,,1.88,2.052,
8/25/2016,August,16,No_mussels,4,X,5,2,2,3,0,0,0,0,0,0,0,,12,1.3086054,0.7083333,3.428571,4,38,33.8,,,,1.88,2.052,
8/25/2016,August,17,Mussels,3,Y,3,10,1,5,0,0,0,0,0,0,0,,19,1.1355507,0.6260388,2.674074,4,38,33.8,,,,1.88,2.052,
8/25/2016,August,18,No_mussels,2,Y,1,4,1,5,0,0,0,0,0,0,0,,11,1.1622255,0.6446281,2.813953,4,38,33.8,,,,1.88,2.052,
9/7/2016,September,19,Mussels,4,X,0,1,2,0,0,0,0,0,0,0,0,,3,0.6365142,0.4444444,1.8,2,36.1,31.3,,,,1.65,1.619,
9/7/2016,September,20,No_mussels,1,X,0,5,1,0,0,0,0,0,0,0,0,,6,0.4505612,0.2777778,1.384615,2,36.1,31.3,,,,1.65,1.619,
9/7/2016,September,21,Mussels,3,Y,2,0,1,0,0,0,0,0,0,0,0,,3,0.6365142,0.4444444,1.8,2,36.1,31.3,,,,1.65,1.619,
9/7/2016,September,22,No_mussels,2,Y,0,2,0,1,0,0,0,0,0,0,0,,3,0.6365142,0.4444444,1.8,2,36.1,31.3,,,,1.65,1.619,
9/8/2016,September,23,Mussels,3,X,1,1,0,0,0,0,0,0,0,0,0,,2,0.6931472,0.5,2,2,36.2,33.3,,,,1.64,1.609,
9/8/2016,September,24,No_mussels,1,X,5,2,0,1,0,0,0,0,0,0,0,,8,0.9002561,0.53125,2.133333,3,36.2,33.3,,,,1.64,1.609,
9/8/2016,September,25,Mussels,4,Y,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,1,1,36.2,33.3,,,,1.64,1.609,
9/8/2016,September,26,No_mussels,2,Y,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,1,36.2,33.3,,,,1.64,1.609,
9/21/2016,September,27,Mussels,1,X,9,4,2,3,0,0,0,0,0,0,0,,18,1.2235757,0.6604938,2.945455,4,33.9,27.9,,,,2.02,1.954,
9/21/2016,September,28,No_mussels,3,X,9,3,4,5,0,0,0,0,0,0,0,,21,1.2986546,0.7029478,3.366412,4,33.9,27.9,,,,2.02,1.954,
9/21/2016,September,29,Mussels,2,Y,24,3,4,3,0,0,0,0,0,0,0,,34,0.9260622,0.4723183,1.895082,4,33.9,27.9,,,,2.02,1.954,
9/21/2016,September,30,No_mussels,4,Y,12,2,2,4,0,0,0,0,0,0,0,,20,1.0889,0.58,2.380952,4,33.9,27.9,,,,2.02,1.954,
9/22/2016,September,31,Mussels,2,X,0,5,1,1,0,0,0,0,0,0,0,,7,0.7963116,0.4489796,1.814815,3,33.9,28.3,,,,1.97,2.027,
9/22/2016,September,32,No_mussels,4,X,0,2,3,2,0,0,0,0,0,0,0,,7,1.0789922,0.6530612,2.882353,3,33.9,28.3,,,,1.97,2.027,
9/22/2016,September,33,Mussels,3,Y,2,3,2,1,0,0,0,0,0,0,0,,8,1.3208883,0.71875,3.555556,4,33.9,28.3,,,,1.97,2.027,
9/22/2016,September,34,No_mussels,1,Y,3,6,5,0,0,0,0,0,0,0,0,,14,1.0609442,0.6428571,2.8,3,33.9,28.3,,,,1.97,2.027,
10/3/2016,October,35,Mussels,4,X,1,11,0,1,0,0,0,0,0,0,0,,13,0.535961,0.2721893,1.373984,3,33.7,25.2,,,,1.84,1.96,Oct.-Dec.: 2 sampling days per month
10/3/2016,October,36,No_mussels,2,X,10,5,3,0,0,0,0,0,0,0,0,,18,0.9809897,0.5864198,2.41791,3,33.7,25.2,,,,1.84,1.96,
10/3/2016,October,37,Mussels,1,Y,11,9,2,2,0,1,0,0,0,0,0,,25,1.2618975,0.6624,2.962085,5,33.7,25.2,,,,1.84,1.96,
10/3/2016,October,38,No_mussels,3,Y,3,6,1,1,0,0,0,0,0,0,0,,11,1.1209504,0.6115702,2.574468,4,33.7,25.2,,,,1.84,1.96,
10/21/2016,October,39,Mussels,4,X,4,1,0,0,0,0,0,0,0,0,0,,5,0.5004024,0.32,1.470588,2,29.1,26.2,,,,1.98,2.163,First sampling that occurred after Hurricane Matthew
10/21/2016,October,40,No_mussels,1,X,23,3,4,1,0,0,0,0,2,0,0,,33,1.0012447,0.486685,1.948122,5,29.1,26.2,,,,1.98,2.163,
10/21/2016,October,41,Mussels,3,Y,21,6,1,1,0,0,0,1,0,0,0,,30,0.9116798,0.4666667,1.875,5,29.1,26.2,,,,1.98,2.163,
10/21/2016,October,42,No_mussels,2,Y,24,3,4,1,0,0,0,0,0,0,0,,32,0.8059138,0.4121094,1.700997,4,29.1,26.2,,,,1.98,2.163,
11/2/2016,November,43,Mussels,,X,4,4,1,0,0,1,0,0,0,0,0,,10,1.1935496,0.66,2.941176,4,32.3,21.6,,,,1.83,1.95,
11/2/2016,November,44,No_mussels,,X,19,1,3,0,0,0,0,0,0,0,0,,23,0.5598343,0.2986767,1.425876,3,32.3,21.6,,,,1.83,1.95,
11/2/2016,November,45,Mussels,,Y,29,1,6,0,0,0,0,0,0,0,0,,36,0.5723485,0.3225309,1.476082,3,32.3,21.6,,,,1.83,1.95,
11/2/2016,November,46,No_mussels,,Y,39,2,2,0,0,0,0,0,0,0,0,,43,0.3739561,0.1730665,1.209287,3,32.3,21.6,,,,1.83,1.95,
11/18/2016,November,47,Mussels,2,X,1,1,0,0,0,0,0,0,0,0,0,0,2,0.6931472,0.5,2,2,33.4,15.2,,,,2.02,2.106,Beginning to count Alpheus heterochaelis
11/18/2016,November,48,No_mussels,1,X,1,1,0,0,0,0,0,0,0,0,0,1,3,1.0986123,0.6666667,3,3,33.4,15.2,,,,2.02,2.106,
11/18/2016,November,49,Mussels,3,Y,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,33.4,15.2,,,,2.02,2.106,
11/18/2016,November,50,No_mussels,4,Y,6,1,2,0,0,0,0,0,0,0,0,0,9,0.8486856,0.4938272,1.97561,3,33.4,15.2,,,,2.02,2.106,
12/2/2016,December,51,Mussels,4,X,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,33.5,11.5,4.5,,,1.76,1.743,Beginning to measure dissolved oxygen concentration
12/2/2016,December,52,No_mussels,1,X,15,0,4,0,0,0,0,0,0,0,0,3,22,0.8427803,0.4834711,1.936,3,33.5,11.5,4.5,,,1.76,1.743,
12/2/2016,December,53,Mussels,3,Y,0,3,0,0,0,6,0,0,0,0,0,0,9,0.6365142,0.4444444,1.8,2,33.5,11.5,4.5,,,1.76,1.743,
12/2/2016,December,54,No_mussels,2,Y,3,2,0,0,0,0,0,0,0,0,0,0,5,0.6730117,0.48,1.923077,2,33.5,11.5,4.5,,,1.76,1.743,
12/16/2016,December,55,Mussels,4,X,0,4,0,0,0,1,0,0,0,1,0,0,6,0.8675632,0.5,2,3,33.5,10.9,7.85,,,2.02,2.292,
12/16/2016,December,56,No_mussels,1,X,0,1,1,0,0,0,0,0,0,0,0,0,2,0.6931472,0.5,2,2,33.5,10.9,7.85,,,2.02,2.292,
12/16/2016,December,57,Mussels,2,Y,0,5,0,0,0,1,0,0,0,0,0,0,6,0.4505612,0.2777778,1.384615,2,33.5,10.9,7.85,,,2.02,2.292,
12/16/2016,December,58,No_mussels,3,Y,2,2,0,0,0,0,0,0,0,0,0,0,4,0.6931472,0.5,2,2,33.5,10.9,7.85,,,2.02,2.292,
1/16/2017,January,59,Mussels,1,X,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,31.6,15.1,6,,,1.71,1.742,
1/16/2017,January,60,No_mussels,3,X,3,0,1,0,0,0,0,0,0,0,0,0,4,0.5623351,0.375,1.6,2,31.6,15.1,6,,,1.71,1.742,
1/16/2017,January,61,Mussels,4,Y,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,31.6,15.1,6,,,1.71,1.742,
1/16/2017,January,62,No_mussels,2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,0,31.6,15.1,6,,,1.71,1.742,Does not appear in species sheet!
1/31/2017,January,63,Mussels,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,0,30.2,10.4,9.59,,,1.71,1.65,Does not appear in species sheet!
1/31/2017,January,64,No_mussels,3,X,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,30.2,10.4,9.59,,,1.71,1.65,
1/31/2017,January,65,Mussels,2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,0,30.2,10.4,9.59,,,1.71,1.65,Does not appear in species sheet!
1/31/2017,January,66,No_mussels,4,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,0,30.2,10.4,9.59,,,1.71,1.65,Does not appear in species sheet!
2/13/2017,February,67,Mussels,2,X,0,1,0,0,0,1,0,0,0,0,0,0,2,0.6931472,0.5,2,2,33.1,14.8,7.2,,7.76,1.75,1.58,Beginning to measure pH
2/13/2017,February,68,No_mussels,4,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,0,33.1,14.8,7.2,,7.76,1.75,1.58,Does not appear in species sheet!
2/13/2017,February,69,Mussels,3,Y,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,33.1,14.8,7.2,,7.76,1.75,1.58,
2/13/2017,February,70,No_mussels,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,0,33.1,14.8,7.2,,7.76,1.75,1.58,Does not appear in species sheet!
2/28/2017,February,71,Mussels,,X,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,30.5,18.3,7.5,,,1.78,1.773,Forgot to measure pH
2/28/2017,February,72,No_mussels,,X,4,0,2,0,0,0,0,0,0,0,1,2,9,1.2730283,0.691358,3.24,4,30.5,18.3,7.5,,,1.78,1.773,
2/28/2017,February,73,Mussels,,Y,3,1,0,0,0,2,0,0,0,0,0,0,6,1.0114043,0.6111111,2.571429,3,30.5,18.3,7.5,,,1.78,1.773,
2/28/2017,February,74,No_mussels,,Y,2,2,1,0,0,0,0,0,0,0,4,0,9,1.2730283,0.691358,3.24,4,30.5,18.3,7.5,,,1.78,1.773,
3/13/2017,March,75,Mussels,,X,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,32.4,11.3,6,,,1.75,1.847,Dropped 20 min. early. Tide was much higher than expected.
3/13/2017,March,76,No_mussels,,X,0,0,1,0,0,0,0,0,0,0,2,0,3,0.6365142,0.4444444,1.8,2,32.4,11.3,6,,,1.75,1.847,Dropped 20 min. early. Tide was much higher than expected.
3/13/2017,March,77,Mussels,,Y,1,0,1,0,0,0,0,0,0,0,0,0,2,0.6931472,0.5,2,2,32.4,11.3,6,,,1.75,1.847,Dropped 20 min. early. Tide was much higher than expected.
3/13/2017,March,78,No_mussels,,Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,32.4,11.3,6,,,1.75,1.847,Dropped 20 min. early. Tide was much higher than expected.
3/31/2017,March,79,Mussels,,X,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,31.6,21.4,5.5,,,1.7,1.783,
3/31/2017,March,80,No_mussels,,X,12,1,3,0,0,0,0,0,0,0,3,0,19,1.0280941,0.5484765,2.214724,4,31.6,21.4,5.5,,,1.7,1.783,
3/31/2017,March,81,Mussels,,Y,4,1,0,0,0,2,0,0,0,0,0,0,7,0.9556999,0.5714286,2.333333,3,31.6,21.4,5.5,,,1.7,1.783,
3/31/2017,March,82,No_mussels,,Y,22,0,1,0,0,0,0,0,0,0,0,3,26,0.5158361,0.2692308,1.368421,3,31.6,21.4,5.5,,,1.7,1.783,
