Grid ID,Block,Point ID,Easting,Northing,Elevation,MLLW,MLW,MHW,MHHW,Mussel presence,Habitat,Notes,Latitude (Local),Longitude (Local),GNSS Position Solution.PDOP,GNSS Position Solution.HDOP,GNSS Position Solution.VDOP,GNSS Position Solution.RMS,GNSS Position Solution.H. Precision,GNSS Position Solution.V. Precision,GNSS Position Solution.Satellites,Ellipsoid Height (Local),GNSS Position Solution.Epochs,GNSS Position Solution.Field Method,GNSS Position Solution.Antenna Height,Feature Code
Ash 2,20-25,ashgr030717-19,596435.976,3631105.187,0.589,1.7133,1.6541,0.0144,-0.0929,Present,Short form S. alterniflora,Medium,32.81371,-79.96985,1.184,0.716,0.943,0.002,0.014,0.014,16,-32.504,20,Topo,2,
Ash 2,20-25,ashgr030717-20,596450.037,3631096.095,0.631,1.5589,1.4996,-0.1394,-0.2468,Present,Short form S. alterniflora,Sparse,32.81363,-79.9697,1.182,0.716,0.94,0.002,0.014,0.014,16,-32.463,20,Topo,2,
Ash 2,20-25,ashgr030717-21,596464.569,3631087.075,0.629,1.4895,1.4302,-0.2083,-0.3157,Present,Medium height S. alterniflora,Sparse,32.81355,-79.96955,1.551,0.906,1.26,0.003,0.017,0.019,14,-32.465,20,Topo,2,
Ash 2,20-25,ashgr030717-22,596478.647,3631078.328,0.599,1.4661,1.4068,-0.2312,-0.3385,Present,Medium height S. alterniflora,Sparse,32.81347,-79.9694,1.553,0.905,1.261,0.003,0.017,0.019,14,-32.495,20,Topo,2,
Ash 2,20-25,ashgr030717-23,596493.034,3631069.605,0.59,1.3939,1.3346,-0.3031,-0.4105,Absent,Medium height S. alterniflora,,32.81339,-79.96925,1.485,0.846,1.22,0.003,0.016,0.019,15,-32.504,20,Topo,2,
Ash 2,20-25,ashgr030717-24,596507.254,3631060.583,0.442,1.5138,1.4545,-0.183,-0.2904,Absent,"Tall form S. alterniflora, near marsh edge",,32.8133,-79.9691,1.487,0.845,1.224,0.002,0.016,0.019,15,-32.653,20,Topo,2,
Ash 2,20-25,ashgr030717-25,596516.766,3631074.834,0.489,1.5888,1.5295,-0.108,-0.2154,Absent,Tall form S. alterniflora,,32.81343,-79.96899,1.489,0.844,1.227,0.003,0.016,0.019,15,-32.606,20,Topo,2,
Ash 2,20-25,ashgr030717-26,596502.229,3631084.45,0.606,1.5029,1.4436,-0.194,-0.3014,Absent,Tall form S. alterniflora,,32.81352,-79.96915,1.491,0.842,1.23,0.002,0.016,0.019,15,-32.488,20,Topo,2,
Ash 2,20-25,ashgr030717-27,596488.334,3631092.869,0.578,1.4801,1.4208,-0.2171,-0.3245,Present,Medium height S. alterniflora,Sparse,32.8136,-79.96929,1.491,0.84,1.233,0.002,0.016,0.019,15,-32.516,20,Topo,2,
Ash 2,20-25,ashgr030717-28,596473.395,3631102.248,0.555,1.5015,1.4422,-0.1962,-0.3036,Present,Short form S. alterniflora,Sparse,32.81368,-79.96945,1.429,0.823,1.169,0.002,0.016,0.018,15,-32.539,20,Topo,2,
Ash 2,20-25,ashgr030717-29,596459.95,3631111.192,0.521,1.5769,1.5176,-0.1214,-0.2288,Present,Medium height S. alterniflora,Medium,32.81376,-79.9696,1.435,0.817,1.18,0.003,0.015,0.018,15,-32.572,20,Topo,2,
Ash 2,20-25,ashgr030717-30,596444.873,3631119.688,0.606,1.6663,1.607,-0.0325,-0.1399,Present,Medium height S. alterniflora,Abundant,32.81384,-79.96976,1.437,0.815,1.184,0.002,0.015,0.018,15,-32.487,20,Topo,2,
Ash 3,15-20,ash3-031717-1,592850.23,3633018.85,-0.098,0.9401,0.8787,-0.8385,-0.9419,Absent,Marsh edge,Underwater; had to feel around,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-2,592839.586,3633031.281,0.686,1.724,1.6626,-0.0546,-0.158,Present,High marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-3,592828.251,3633042.679,0.755,1.793,1.7315,0.0143,-0.0892,Present,Mid marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-4,592815.98,3633054.369,0.643,1.6809,1.6194,-0.0979,-0.2013,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-5,592804.231,3633065.516,0.585,1.6228,1.5613,-0.156,-0.2595,Present,Mid marsh,Medium,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-6,592792.37,3633078.012,0.515,1.5527,1.4912,-0.2262,-0.3296,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-7,592807.12,3633092.03,0.459,1.4966,1.4351,-0.282,-0.3855,Present,High marsh,Abundant,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-8,592818.037,3633080.531,0.529,1.5667,1.5053,-0.2119,-0.3154,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-9,592830.021,3633069.099,0.596,1.6338,1.5724,-0.1448,-0.2482,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-10,592842.273,3633056.55,0.71,1.7479,1.6865,-0.0306,-0.1341,Present,Mid marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-11,592853.938,3633045.136,0.709,1.747,1.6856,-0.0315,-0.1349,Present,High marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-12,592865.236,3633034.019,-0.067,0.971,0.9096,-0.8073,-0.9108,Absent,Marsh edge,Underwater; had to feel around; Oysters,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-13,592879.317,3633047.674,0.031,1.069,1.0076,-0.7091,-0.8127,Absent,Marsh edge,Underwater; had to feel around,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-14,592868.103,3633058.616,0.616,1.6539,1.5925,-0.1243,-0.2278,Present,High marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-15,592856.183,3633070.953,0.654,1.6918,1.6304,-0.0865,-0.19,Present,Mid marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-16,592844.348,3633082.76,0.587,1.6247,1.5633,-0.1536,-0.2571,Present,Mid marsh,Medium,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-17,592832.843,3633095.435,0.493,1.5307,1.4692,-0.2478,-0.3512,Present,Dieback,Sparse; many recently dead,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-18,592820.857,3633106.511,0.442,1.4795,1.4181,-0.2989,-0.4024,Present,Mid marsh,Medium,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-19,592835.133,3633120.638,0.503,1.5404,1.479,-0.2377,-0.3413,Present,Mid marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-20,592846.674,3633109.111,0.534,1.5715,1.5101,-0.2066,-0.3101,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-21,592858.603,3633096.646,0.615,1.6527,1.5913,-0.1255,-0.229,Present,High marsh,Medium,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-22,592870.117,3633085.718,0.652,1.6897,1.6283,-0.0883,-0.1919,Present,Mid marsh,Medium,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-23,592882.33,3633074.358,0.598,1.6358,1.5744,-0.1421,-0.2457,Present,High marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-24,592893.285,3633061.624,-0.134,0.9039,0.8425,-0.874,-0.9776,Absent,Marsh edge,Underwater; had to feel around,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-25,592908.122,3633075.461,-0.045,0.9928,0.9314,-0.7848,-0.8885,Absent,Marsh edge,Underwater; had to feel around,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-26,592896.794,3633087.665,0.642,1.6797,1.6183,-0.098,-0.2016,Absent,High marsh,,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-27,592884.643,3633099.359,0.651,1.6887,1.6273,-0.0891,-0.1928,Present,Mid marsh,Sparse,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-28,592872.746,3633110.596,0.509,1.5465,1.4851,-0.2313,-0.3349,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-29,592860.717,3633122.763,0.482,1.5194,1.458,-0.2584,-0.362,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 3,15-20,ash3-031717-30,592849.469,3633134.984,0.475,1.5122,1.4508,-0.2656,-0.3691,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-1,591768.126,3632630.112,0.311,1.3521,1.2879,-0.4383,-0.541,Absent,Marsh edge,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-2,591754.151,3632615.886,0.522,1.563,1.4988,-0.2274,-0.3301,Present,Low marsh,Medium,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-3,591739.791,3632602.266,0.609,1.6499,1.5857,-0.1404,-0.2432,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-4,591725.897,3632587.337,0.624,1.6648,1.6006,-0.1255,-0.2283,Present,Mid marsh,Sparse,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-5,591712.08,3632573.058,0.638,1.6788,1.6145,-0.1115,-0.2144,Present,High marsh,Medium,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-6,591723.57,3632561.762,0.62,1.6609,1.5965,-0.1293,-0.2322,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-7,591737.438,3632575.753,0.588,1.6289,1.5646,-0.1613,-0.2642,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-8,591751.075,3632589.629,0.524,1.565,1.5008,-0.2253,-0.3281,Present,Mid marsh,Medium,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-9,591765.137,3632603.995,0.543,1.5841,1.5199,-0.2062,-0.309,Absent,High marsh,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-10,591779.425,3632618.626,0.283,1.3242,1.26,-0.4662,-0.5689,Absent,Marsh edge,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-11,591790.7,3632607.002,0.405,1.4463,1.382,-0.344,-0.4467,Absent,Marsh edge,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-12,591777.252,3632593.447,0.802,1.8432,1.7789,0.053,-0.0499,Absent,Mid marsh,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-13,591763.128,3632579,0.736,1.7771,1.7128,-0.0131,-0.116,Present,High marsh,Medium,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-14,591748.868,3632564.612,0.593,1.6341,1.5697,-0.1561,-0.259,Present,Mid marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-15,591734.887,3632550.152,0.673,1.714,1.6496,-0.0762,-0.1791,Present,High marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-16,591747.012,3632538.812,0.601,1.6421,1.5776,-0.148,-0.251,Present,High marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-17,591760.254,3632552.006,0.613,1.6542,1.5897,-0.136,-0.2389,Present,Mid marsh,Medium,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-18,591774.051,3632566.146,0.656,1.6972,1.6328,-0.0929,-0.1958,Present,High marsh,Sparse,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-19,591787.893,3632580.356,0.806,1.8473,1.7829,0.0571,-0.0457,Absent,Low marsh,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-20,591801.795,3632594.704,0.691,1.7324,1.668,-0.0578,-0.1606,Absent,Marsh edge,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-21,591813.814,3632583.7,0.455,1.4965,1.4321,-0.2937,-0.3965,Absent,Marsh edge,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-22,591799.912,3632569.142,0.658,1.6994,1.635,-0.0907,-0.1936,Absent,Mid marsh,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-23,591786.297,3632555.415,0.631,1.6723,1.6078,-0.1177,-0.2207,Present,High marsh,Medium,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-24,591772.29,3632540.789,0.596,1.6373,1.5727,-0.1528,-0.2558,Present,Mid marsh,Medium,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-25,591757.777,3632526.037,0.59,1.6312,1.5666,-0.1588,-0.2619,Present,High marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-26,591769.348,3632513.88,0.416,1.4573,1.3927,-0.3327,-0.4358,Present,Low marsh,Medium,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-27,591783.116,3632528.916,0.448,1.4893,1.4248,-0.3006,-0.4037,Present,Mid marsh,Sparse,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-28,591797.546,3632542.267,0.439,1.4804,1.4159,-0.3096,-0.4126,Present,Low marsh,Abundant,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-29,591811.012,3632557.552,0.533,1.5745,1.51,-0.2155,-0.3185,Absent,Low marsh,,,,,,,,,,,,,,,
Ash 4,15-20,ash4-032217-30,591825.601,3632571.921,0.344,1.3856,1.3211,-0.4045,-0.5074,Absent,Marsh edge,,,,,,,,,,,,,,,
